iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
194,1.0,0.0,1.0,0.0,0.002212386817768029,0.0006770228095542301,0.0010056991709365645,0.0001399049681859318
195,1.0,0.0,1.0,0.0,0.002211814421127645,0.0006764526752397511,0.0010051677329950388,0.00014008950319154977
196,1.0,0.0,1.0,0.0,0.0022107151210130323,0.0006755031349475778,0.0010042025088249351,0.00014073494382585376
197,1.0,0.0,1.0,0.0,0.002210391747800347,0.0006754151348097741,0.0010038959185621644,0.00014069407157675775
198,1.0,0.0,1.0,0.0,0.0022093056670746854,0.0006747606555613543,0.0010032655961510642,0.00014076080387149498
199,1.0,0.0,1.0,0.0,0.0022086996018356214,0.0006744270278957828,0.001002581429951845,0.0001408419383047493
200,1.0,0.0,1.0,0.0,0.0022078141714945874,0.0006732357412535486,0.0010017097601772718,0.0001411574278583209
201,1.0,0.0,1.0,0.0,0.002207409411665496,0.000673158234643598,0.0010012563359409726,0.00014132506117914764
202,1.0,0.0,1.0,0.0,0.0022073489279044426,0.0006731564622366483,0.0010012002470715722,0.00014133874804964308
203,1.0,0.0,1.0,0.0,0.0022067023771914123,0.0006741454150476422,0.001000478210394767,0.00014250392549398582
204,1.0,0.0,1.0,0.0,0.0022061022209125085,0.0006737823330597603,0.0009997411319979904,0.00014258777048277354
205,1.0,0.0,1.0,0.0,0.002205378709324814,0.0006734027541383504,0.0009989787896546817,0.00014273955794407507
206,1.0,0.0,1.0,0.0,0.0022044511400393214,0.0006741904017306919,0.0009979292524006575,0.00014394059131266884
207,1.0,0.0,1.0,0.0,0.002202968227250468,0.0006731896627882622,0.000996592151595046,0.00014388238481601815
208,1.0,0.0,1.0,0.0,0.0022029087749311244,0.000673161232872213,0.000996534721397944,0.00014387948379903672
209,1.0,0.0,1.0,0.0,0.0022025346957417623,0.0006727728226386432,0.000996275246898375,0.0001439489378713798
210,1.0,0.0,1.0,0.0,0.002202047979975617,0.0006724643549698908,0.0009956028344744428,0.00014403843448779094
211,1.0,0.0,1.0,0.0,0.002200784953216673,0.0006717970642612526,0.0009944644072140013,0.00014499221716737028
212,1.0,0.0,1.0,0.0,0.0021998726298266967,0.0006708844679895816,0.0009934902473656602,0.00014525368069005928
213,1.0,0.0,1.0,0.0,0.0021996928856898596,0.0006707687548132491,0.0009933111056974323,0.00014533594946591698
214,1.0,0.0,1.0,0.0,0.002199143022906131,0.0006700610325336528,0.0009927682093501975,0.00014557426658893367
215,1.0,0.0,1.0,0.0,0.0021985151520026855,0.0006696481973008673,0.000992081904258123,0.00014573509745308182
216,1.0,0.0,1.0,0.0,0.0021984684169141407,0.0006696689258859921,0.0009920342492818254,0.0001457866599452684
217,1.0,0.0,1.0,0.0,0.002198237856374435,0.000669949281150293,0.0009917788131781026,0.0001461606811435361
218,1.0,0.0,1.0,0.0,0.0021982049799423647,0.0006699289519541756,0.0009917485319478894,0.00014617745070478243
219,1.0,0.0,1.0,0.0,0.0021981909227672667,0.0006699195331005191,0.0009917355793771796,0.00014618097166269032
220,1.0,0.0,1.0,0.0,0.0021973605098709347,0.0006701737309578481,0.0009909108364502084,0.00014716018957162385
221,1.0,0.0,1.0,0.0,0.002197346486218179,0.0006701643346781457,0.0009908979164376375,0.00014716367239440978
222,1.0,0.0,1.0,0.0,0.0021964434400881007,0.0006715567148574072,0.0009898845454979082,0.00014879680033021896
223,1.0,0.0,1.0,0.0,0.0021949928948161784,0.00067166732749649,0.0009884897759058178,0.0001503492202936089
224,1.0,0.0,1.0,0.0,0.00219439452784185,0.0006726032349202184,0.0009878189033069131,0.0001514428264686181
